,job_title,company_name,company_rating,company_location,job_descriptions
432,Sr Designer,eBay Inc.,3.9,N/A,"You will collaborate with our data, design, product and engineering teams and be responsible for creating ideas, communications, and interface for the shopping…"
433,Cloud Services Developer,HP,4.0,N/A,Experience with big data and analytics.
434,Technical Curriculum Developer (AWS Cloud Curriculum),"Amazon Web Services, Inc.",3.5,N/A,"Amazon Web Services (AWS) Training and Certification Team is looking for developers, technical trainers, or technical instructional designers who want be a part…"
435,Customer Care Supervisor,Nautilus,3.8,N/A,"We exist to serve consumer needs and wants, using data and our deep consumer knowledge to drive our decision making."
436,"Data Analytics Manager, Marketplace Operations Analytics",Nike,4.1,N/A,"You will work in a product squad model led by a product manager and consisting of data analysts, engineers and visualization developers."
437,SEO Manager,FINE,4.1,N/A,Experience in collaborating with developers and designers to provide SEO recommendations.
438,Data Engineering Tech Lead,VanderHouwen,3.8,"Beaverton, OR","You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
439,Business Controller - North America,"Edwards Vacuum, LLC",2.1,N/A,"Edwards is a leading developer and manufacturer of sophisticated vacuum products, exhaust management systems and related value-added services."
440,Big Data Software Engineer- SISW PLM 238504,Siemens,4.0,N/A,"The ideal candidate will have had experience with data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
441,Solution Architect - Data & Analytics,Deloitte,4.0,N/A,Strong understanding of data modeling and data architecture.
442,Data Science Engineer,Lytics,N/A,N/A,Interest in data science and data visualization.
443,Senior Big Data Engineer,VanderHouwen,3.8,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
444,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
445,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
446,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
447,Process Developer - Account Administration,Genpact,3.8,N/A,Ability to handle repetitive data entry.
448,Senior Copywriter,New Relic,3.3,N/A,"Creative, upbeat problem solver who collaborates with graphic designers and web developers."
449,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
450,Associate Data Scientist,Schrödinger,N/A,N/A,Verify data by comparing it to source documents and update existing data.
451,Customer Care Supervisor,Nautilus,3.8,N/A,"We exist to serve consumer needs and wants, using data and our deep consumer knowledge to drive our decision making."
452,"Data Analytics Manager, Marketplace Operations Analytics",Nike,4.1,N/A,"You will work in a product squad model led by a product manager and consisting of data analysts, engineers and visualization developers."
453,SEO Manager,FINE,4.1,N/A,Experience in collaborating with developers and designers to provide SEO recommendations.
454,Business Controller - North America,"Edwards Vacuum, LLC",2.1,N/A,"Edwards is a leading developer and manufacturer of sophisticated vacuum products, exhaust management systems and related value-added services."
455,Big Data Software Engineer- SISW PLM 238504,Siemens,4.0,N/A,"The ideal candidate will have had experience with data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
456,Engineering Manager,AT&T,3.7,N/A,"Care about solving big, systemic problems."
457,Solution Architect - Data & Analytics,Deloitte,4.0,N/A,Strong understanding of data modeling and data architecture.
458,Data Science Engineer,Lytics,N/A,N/A,Interest in data science and data visualization.
459,User Interface Developer,SoSACorp,N/A,N/A,"SoSACorp’s Portland, OR office is looking for a user interface developer who is able to design, develop, and deploy user interfaces for new and existing web…"
460,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
461,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
462,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
463,Process Developer - Account Administration,Genpact,3.8,N/A,Ability to handle repetitive data entry.
464,Data Engineer,FlexIT Inc,N/A,N/A,5+ years of experience with data engineering with emphasis on data analytics and reporting.
465,Business Controller - North America,"Edwards Vacuum, LLC",2.1,N/A,"Edwards is a leading developer and manufacturer of sophisticated vacuum products, exhaust management systems and related value-added services."
466,AI Support Engineer,DataRobot,3.8,N/A,"Experience with Data Science, Data Analyst, Data Operations, or any experience working with big data."
467,Data Science Engineer,Lytics,N/A,N/A,Interest in data science and data visualization.
468,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
469,SEO Manager,FINE,4.1,N/A,Experience in collaborating with developers and designers to provide SEO recommendations.
470,Big Data Software Engineer- SISW PLM 238504,Siemens,4.0,N/A,"The ideal candidate will have had experience with data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
471,Data Engineering Tech Lead,VanderHouwen,3.8,"Beaverton, OR","You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
472,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
473,Senior Big Data Engineer,VanderHouwen,3.8,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
474,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
475,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
476,Application Technologist,Intel,4.1,N/A,"The Data Platforms Group drives new products technologies from high-end co-processors for supercomputers to low-energy systems for enterprise and the cloud, as…"
477,Senior Copywriter,New Relic,3.3,N/A,"Creative, upbeat problem solver who collaborates with graphic designers and web developers."
478,Process Developer - Account Administration,Genpact,3.8,N/A,Ability to handle repetitive data entry.
479,Engineering Manager,AT&T,3.7,N/A,"Care about solving big, systemic problems."
480,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
481,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
482,"Front End Developer (Oregon, Silicon Valley or Remote)","Rulai, Inc.",N/A,N/A,"Deep understanding of modern frontend JavaScript frameworks, proficient with vue.js is a big plus."
483,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
484,Product Designer I,Cvent,3.6,N/A,Form theories and recommendations based on usage data and product analytics.
485,Senior C++20 Engineer,Hydrolix,N/A,N/A,Designing/developing distributed data pipeline processors/flows.
486,Senior Data Engineer,FlexIT Inc,N/A,N/A,"The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
487,Desktop Support Technician - Portland,New Relic,3.3,N/A,"We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility, and fun of a…"
488,Senior Digital Project Manager,FINE,4.1,N/A,"Create scopes of work, estimates and resource allocations for big budget projects."
489,BI Developer/Analyst (IT),Tektronix,3.6,N/A,Bring data to life through storytelling and advanced data visualization techniques.
490,"Vice President of Engineering, Consumer Solutions",Cambia Health Solutions,3.7,N/A,Working knowledge of big data technologies and high-volume transactional systems.
491,"Director, Product Management-OpenTelemetry (Remote)",New Relic,3.3,N/A,"Product strategy: Define an OpenTelemetry strategy informed by customer and market insights, data analysis, competitive landscape, and company direction."
492,"Manager, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
493,Sr Designer,eBay Inc.,3.9,N/A,"You will collaborate with our data, design, product and engineering teams and be responsible for creating ideas, communications, and interface for the shopping…"
494,Cloud Services Developer,HP,4.0,N/A,Experience with big data and analytics.
495,Data Integration Developer,Reliant Funding,3.8,"San Diego, CA 92121 (University City area)",Optimizes data warehouse performance by addressing any data conflicts that arise and keeping data definitions up to date.
496,"Software Engineer 2, Big Data",Intuit,4.2,"San Diego, CA 92101",N/A
497,Jr. Big Data Developer,Enhance IT,3.1,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management."
498,Intern - Information Security: Application Security,Teradata,3.8,"San Diego, CA",Design and implement solutions to integrate security tooling into the software development lifecycle Build proof of concept code to help developers understand…
499,Data Scientist Intern,Accenture,4.0,"San Diego, CA","Performing data processing, data analysis, visualization and reporting."
500,"Staff Software Engineer, Big Data",Intuit,4.2,"San Diego, CA 92101",Design and develop big data and real-time analytics solutions using industry standard technologies.
501,Data Engineer,Itility,N/A,"San Diego, CA",Own data quality and data knowledge around all data that you touch.
502,Entry Level Data Analyst (STEM) and Paid Internship,PCS Global Tech,N/A,N/A,"Maintain, support, and enhance the business intelligence data backend, including data warehouses and data lakes."
503,Data Visualization Developer,1POINT21 Interactive,N/A,N/A,2+ years of experience as a data scientist or data visualization specialist.
504,Scientific Software Developer and Researcher,UC San Diego,4.2,N/A,Intermediate knowledge of HPC / data science / CI.
505,"Data, Analytics & Insights Internship",Neil Patel Digital,4.2,N/A,Detecting and debugging data issues to ensure data quality.
506,EHR Developer,San Ysidro Health,3.7,N/A,"Knowledge of Electronic Health Records Systems, Health Care Specific Data Interface standards, and health information exchange technologies a big plus."
507,"Data, Analytics & Insights Internship",NP Digital,N/A,N/A,Detecting and debugging data issues to ensure data quality.
508,SYS ADM 4,UC San Diego,4.2,N/A,"Incumbent will work with critical data systems to lead the effort to deliver a platform for computation, research and data sharing across the organization."
509,Sr BI Developer,"NuVasive, Inc.",3.4,N/A,Help with design of data marts & data models by integrating data sources from desperate systems.
510,Backend Developer | California,Photon,3.3,N/A,§ Experience using big data databases such as Hadoop with Apache Spark.
511,Data Engineer,Guild Mortgage Company LLC,N/A,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…"
512,Machine Learning Developer,Realty Income Corporation,4.3,N/A,"Understanding of data structures, data modeling and software architecture."
513,"Program Manager, Small Business Insights",Amazon.com Services LLC,3.5,N/A,Experience managing Redshift data tables.
514,Data Engineer,CyberCoders,3.3,"San Diego, CA 92123","Continue to enhance data systems to efficiently intake, transform, and store massive data sets."
515,Senior Software Developer - PHP / LARAVEL,Iteris,3.2,N/A,"We collect, aggregate and analyze data on traffic, roads and driver behavior to generate precise informatics that lead to safer transportation and saving lives."
516,Sr. Visualization Developer,BAE Systems,3.8,N/A,GXP is looking for a senior level visualization developer.
517,Sr. Data Quality Engineer,ecoATM Gazelle,3.8,N/A,"5+ years of hands-on data testing experience in big data warehouse environment, dealing with large diverse data sets."
518,Lead Data Engineer (remote),ThoughtWorks,4.2,N/A,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within…"
519,Enterprise West Solutions Architect,Databricks,N/A,N/A,Experience designing and architecting distributed data systems.
520,Software Development Manager,Amazon.com Services LLC,3.5,N/A,"Want to join a team that saves millions of dollars per year for Amazon and uses cutting edge technology, including machine learning and statistical modeling…"
521,Principal Business Intelligence Developer,Epsilon,3.4,N/A,"Provide hands-on implementation and subject-matter expertise around data warehouse, data marts, reporting data and ETL sub systems for the Enterprise Data…"
522,Cybersecurity Engineer 2,Dexcom,3.3,N/A,Interprets data and draws conclusions regarding results used in presented material.
523,"Manager, Site Reliability Engineering",Sony Interactive Entertainment PlayStation,3.7,N/A,"He/She must also have strong planning, organizational, communication skills, and be a key driver to help the team understand the big picture perspective."
524,Senior Software Developer,BHHS California Properties,N/A,N/A,"We are building strategic new business systems critical to the ongoing success of our company in areas such as information retrieval, big data, artificial…"
525,Web Developer,1POINT21 Interactive,N/A,N/A,"Creating interactive websites, animations and data visualizations."
526,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
527,Principal Software Developer -Big Data (San Diego),"TouchCommerce, Inc.",2.9,N/A,"Experience working with high volumes of data, distributed processing and concurrency."
528,Backend Developer | California,Photon,3.3,N/A,§ Experience using big data databases such as Hadoop with Apache Spark.
529,Data Engineer,Guild Mortgage Company LLC,N/A,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…"
530,Scientific Software Developer,UC San Diego,4.2,N/A,"Proven vision in discovering/defining/publishing new methods to support Bioinformatics data standards, tools, algorithms and/or data structures."
531,"Program Manager, Small Business Insights",Amazon.com Services LLC,3.5,N/A,Experience managing Redshift data tables.
532,Senior Software Developer - PHP / LARAVEL,Iteris,3.2,N/A,"We collect, aggregate and analyze data on traffic, roads and driver behavior to generate precise informatics that lead to safer transportation and saving lives."
533,Sr. Visualization Developer,BAE Systems,3.8,N/A,GXP is looking for a senior level visualization developer.
534,Sr. Data Quality Engineer,ecoATM Gazelle,3.8,N/A,"5+ years of hands-on data testing experience in big data warehouse environment, dealing with large diverse data sets."
535,Lead Data Engineer (remote),ThoughtWorks,4.2,N/A,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within…"
536,Enterprise West Solutions Architect,Databricks,N/A,N/A,Experience designing and architecting distributed data systems.
537,Software Development Manager,Amazon.com Services LLC,3.5,N/A,"Want to join a team that saves millions of dollars per year for Amazon and uses cutting edge technology, including machine learning and statistical modeling…"
538,Principal Business Intelligence Developer,Epsilon,3.4,N/A,"Provide hands-on implementation and subject-matter expertise around data warehouse, data marts, reporting data and ETL sub systems for the Enterprise Data…"
539,Cybersecurity Engineer 2,Dexcom,3.3,N/A,Interprets data and draws conclusions regarding results used in presented material.
540,Web Developer,1POINT21 Interactive,N/A,N/A,"Creating interactive websites, animations and data visualizations."
541,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
542,Principal Software Developer -Big Data (San Diego),"TouchCommerce, Inc.",2.9,N/A,"Experience working with high volumes of data, distributed processing and concurrency."
543,Backend Developer | California,Photon,3.3,N/A,§ Experience using big data databases such as Hadoop with Apache Spark.
544,Data Engineer,Guild Mortgage Company LLC,N/A,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…"
545,Scientific Software Developer,UC San Diego,4.2,N/A,"Proven vision in discovering/defining/publishing new methods to support Bioinformatics data standards, tools, algorithms and/or data structures."
546,"Program Manager, Small Business Insights",Amazon.com Services LLC,3.5,N/A,Experience managing Redshift data tables.
547,Senior Software Developer - PHP / LARAVEL,Iteris,3.2,N/A,"We collect, aggregate and analyze data on traffic, roads and driver behavior to generate precise informatics that lead to safer transportation and saving lives."
548,Sr. Visualization Developer,BAE Systems,3.8,N/A,GXP is looking for a senior level visualization developer.
549,Sr. Data Quality Engineer,ecoATM Gazelle,3.8,N/A,"5+ years of hands-on data testing experience in big data warehouse environment, dealing with large diverse data sets."
550,Lead Data Engineer (remote),ThoughtWorks,4.2,N/A,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within…"
551,Enterprise West Solutions Architect,Databricks,N/A,N/A,Experience designing and architecting distributed data systems.
552,Software Development Manager,Amazon.com Services LLC,3.5,N/A,"Want to join a team that saves millions of dollars per year for Amazon and uses cutting edge technology, including machine learning and statistical modeling…"
553,Principal Business Intelligence Developer,Epsilon,3.4,N/A,"Provide hands-on implementation and subject-matter expertise around data warehouse, data marts, reporting data and ETL sub systems for the Enterprise Data…"
554,Cybersecurity Engineer 2,Dexcom,3.3,N/A,Interprets data and draws conclusions regarding results used in presented material.
555,Commerce Data Analyst,BVAccel,3.3,N/A,Strong data analysis skills using Excel and Google Sheets.
556,Sr. ETL Developer,"NuVasive, Inc.",3.4,N/A,Implement data virtualization / data integration approaches to help with data discovery/ data prep activities for data scientists and data stewards.
557,Big Data Software Engineer,HP,4.0,N/A,"Understanding of big data systems along with complex, distributed and massively parallel systems."
558,Machine Learning Developer,Realty Income Corporation,4.3,N/A,"Understanding of data structures, data modeling and software architecture."
559,Data Visualization & Research Analyst,Northcentral University,3.2,N/A,"Works closely with researchers and other developers respond to and evaluate ad hoc requests for data, research projects and studies."
560,Backend Developer | California,Photon,3.3,N/A,§ Experience using big data databases such as Hadoop with Apache Spark.
561,Senior Big Data Engineer,Lytx,3.7,N/A,"Mentor and coach junior engineers, software developers, and data analysts."
562,Freelancer Publicist,TOP Agency,N/A,N/A,Target hours to start are 5 to 15 hours per week.
563,Sr. Data Analyst/Developer,"Tandem Diabetes Care, Inc.",3.6,N/A,Assists with data modeling and data quality assurance.
564,Support Assistant Genius,Comentum Corp,N/A,N/A,Must be excited to speak with customers - to understand their needs and accurately describe those needs to our developers (extreme accuracy is a must).
565,Full Stack Software Developer,Chatmeter,3.4,N/A,"Established in 2009, Chatmeter now analyzes billions of customer reviews, social media mentions, and sentiments from hundreds of sources to help businesses keep…"
566,"Full Stack .NET Desktop Software Developer (C#, WPF, Azure)",Power Line Reporting,N/A,N/A,Most of our products are 'factory' type applications which convert and manipulate data from one format to another.
567,Senior Business Data Analyst,ResMed,3.8,N/A,"Experience with modern cloud data lakes, data platforms and data warehouse systems."
568,Software QA Engineer,OmniSync Incorporated,N/A,N/A,"Experience in developing test plans, assessing risk, filing appropriate defects, and providing relevant data for test reporting."
569,Data Engineer,Guild Mortgage Company LLC,N/A,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…"
570,SYS ADM 4,UC San Diego,4.2,N/A,"Incumbent will work with critical data systems to lead the effort to deliver a platform for computation, research and data sharing across the organization."
571,Sr. ETL Developer,"NuVasive, Inc.",3.4,N/A,Implement data virtualization / data integration approaches to help with data discovery/ data prep activities for data scientists and data stewards.
572,"Data, Analytics & Insights Internship",NP Digital,N/A,N/A,Detecting and debugging data issues to ensure data quality.
573,"Full Stack .NET Desktop Software Developer (C#, WPF, Azure)",Power Line Reporting,N/A,N/A,Most of our products are 'factory' type applications which convert and manipulate data from one format to another.
574,Senior Big Data Engineer,Lytx,3.7,N/A,"Mentor and coach junior engineers, software developers, and data analysts."
575,Machine Learning Developer,Realty Income Corporation,4.3,N/A,"Understanding of data structures, data modeling and software architecture."
576,Freelancer Publicist,TOP Agency,N/A,N/A,Target hours to start are 5 to 15 hours per week.
577,Support Assistant Genius,Comentum Corp,N/A,N/A,Must be excited to speak with customers - to understand their needs and accurately describe those needs to our developers (extreme accuracy is a must).
578,Sr. Data Analyst/Developer,"Tandem Diabetes Care, Inc.",3.6,N/A,Assists with data modeling and data quality assurance.
579,Senior Business Data Analyst,ResMed,3.8,N/A,"Experience with modern cloud data lakes, data platforms and data warehouse systems."
580,Data Visualization & Research Analyst,Northcentral University,3.2,N/A,"Works closely with researchers and other developers respond to and evaluate ad hoc requests for data, research projects and studies."
581,"Hadoop Database Administrator (Big Data, Analytics)",Hewlett-Packard Inc.,4.3,N/A,Ensuring the security of HP data.
582,Full Stack Software Developer,Chatmeter,3.4,N/A,"Established in 2009, Chatmeter now analyzes billions of customer reviews, social media mentions, and sentiments from hundreds of sources to help businesses keep…"
583,Big Data Software Engineer,HP,4.0,N/A,"Understanding of big data systems along with complex, distributed and massively parallel systems."
584,Cyber Fusion Research Support Developer,Deloitte,4.0,N/A,The developer will closely work with the threat intelligence team to assess the needs and any new development projects needed to drive more automation from a…
585,Data Engineer,Guild Mortgage Company LLC,N/A,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…"
586,"Hadoop Database Administrator (Big Data, Analytics)",Hewlett-Packard Inc.,4.3,N/A,Ensuring the security of HP data.
587,Web Developer,1POINT21 Interactive,N/A,N/A,"Creating interactive websites, animations and data visualizations."
588,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
589,Principal Software Developer -Big Data (San Diego),"TouchCommerce, Inc.",2.9,N/A,"Experience working with high volumes of data, distributed processing and concurrency."
590,Sr. Visualization Developer,BAE Systems,3.8,N/A,GXP is looking for a senior level visualization developer.
591,Cyber Fusion Research Support Developer,Deloitte,4.0,N/A,The developer will closely work with the threat intelligence team to assess the needs and any new development projects needed to drive more automation from a…
592,Sr. Data Quality Engineer,ecoATM Gazelle,3.8,N/A,"5+ years of hands-on data testing experience in big data warehouse environment, dealing with large diverse data sets."
593,Senior Software Developer - PHP / LARAVEL,Iteris,3.2,N/A,"We collect, aggregate and analyze data on traffic, roads and driver behavior to generate precise informatics that lead to safer transportation and saving lives."
594,"Program Manager, Small Business Insights",Amazon.com Services LLC,3.5,N/A,Experience managing Redshift data tables.
595,Senior Software Developer,BHHS California Properties,N/A,N/A,"We are building strategic new business systems critical to the ongoing success of our company in areas such as information retrieval, big data, artificial…"
596,Software Development Manager,Amazon.com Services LLC,3.5,N/A,"Want to join a team that saves millions of dollars per year for Amazon and uses cutting edge technology, including machine learning and statistical modeling…"
597,Lead Data Engineer (remote),ThoughtWorks,4.2,N/A,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within…"
598,Scientific Software Developer,UC San Diego,4.2,N/A,"Proven vision in discovering/defining/publishing new methods to support Bioinformatics data standards, tools, algorithms and/or data structures."
599,Enterprise West Solutions Architect,Databricks,N/A,N/A,Experience designing and architecting distributed data systems.
600,Web Developer,1POINT21 Interactive,N/A,N/A,"Creating interactive websites, animations and data visualizations."
601,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
602,Principal Software Developer -Big Data (San Diego),"TouchCommerce, Inc.",2.9,N/A,"Experience working with high volumes of data, distributed processing and concurrency."
603,Backend Developer | California,Photon,3.3,N/A,§ Experience using big data databases such as Hadoop with Apache Spark.
604,Data Engineer,Guild Mortgage Company LLC,N/A,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…"
605,Scientific Software Developer,UC San Diego,4.2,N/A,"Proven vision in discovering/defining/publishing new methods to support Bioinformatics data standards, tools, algorithms and/or data structures."
606,"Program Manager, Small Business Insights",Amazon.com Services LLC,3.5,N/A,Experience managing Redshift data tables.
607,Senior Software Developer - PHP / LARAVEL,Iteris,3.2,N/A,"We collect, aggregate and analyze data on traffic, roads and driver behavior to generate precise informatics that lead to safer transportation and saving lives."
608,Sr. Visualization Developer,BAE Systems,3.8,N/A,GXP is looking for a senior level visualization developer.
609,Sr. Data Quality Engineer,ecoATM Gazelle,3.8,N/A,"5+ years of hands-on data testing experience in big data warehouse environment, dealing with large diverse data sets."
610,Lead Data Engineer (remote),ThoughtWorks,4.2,N/A,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within…"
611,Enterprise West Solutions Architect,Databricks,N/A,N/A,Experience designing and architecting distributed data systems.
612,Software Development Manager,Amazon.com Services LLC,3.5,N/A,"Want to join a team that saves millions of dollars per year for Amazon and uses cutting edge technology, including machine learning and statistical modeling…"
613,Principal Business Intelligence Developer,Epsilon,3.4,N/A,"Provide hands-on implementation and subject-matter expertise around data warehouse, data marts, reporting data and ETL sub systems for the Enterprise Data…"
614,Cybersecurity Engineer 2,Dexcom,3.3,N/A,Interprets data and draws conclusions regarding results used in presented material.
615,"Hadoop Database Administrator (Big Data, Analytics)",Hewlett-Packard Inc.,4.3,N/A,Ensuring the security of HP data.
616,Data Engineer,CyberCoders,3.3,"San Diego, CA 92123","Continue to enhance data systems to efficiently intake, transform, and store massive data sets."
617,Web Developer,1POINT21 Interactive,N/A,N/A,"Creating interactive websites, animations and data visualizations."
618,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
619,Principal Software Developer -Big Data (San Diego),"TouchCommerce, Inc.",2.9,N/A,"Experience working with high volumes of data, distributed processing and concurrency."
620,Sr. Visualization Developer,BAE Systems,3.8,N/A,GXP is looking for a senior level visualization developer.
621,Cyber Fusion Research Support Developer,Deloitte,4.0,N/A,The developer will closely work with the threat intelligence team to assess the needs and any new development projects needed to drive more automation from a…
622,Sr. Data Quality Engineer,ecoATM Gazelle,3.8,N/A,"5+ years of hands-on data testing experience in big data warehouse environment, dealing with large diverse data sets."
623,Senior Software Developer - PHP / LARAVEL,Iteris,3.2,N/A,"We collect, aggregate and analyze data on traffic, roads and driver behavior to generate precise informatics that lead to safer transportation and saving lives."
624,"Program Manager, Small Business Insights",Amazon.com Services LLC,3.5,N/A,Experience managing Redshift data tables.
625,Senior Software Developer,BHHS California Properties,N/A,N/A,"We are building strategic new business systems critical to the ongoing success of our company in areas such as information retrieval, big data, artificial…"
626,Software Development Manager,Amazon.com Services LLC,3.5,N/A,"Want to join a team that saves millions of dollars per year for Amazon and uses cutting edge technology, including machine learning and statistical modeling…"
627,Lead Data Engineer (remote),ThoughtWorks,4.2,N/A,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within…"
628,Scientific Software Developer,UC San Diego,4.2,N/A,"Proven vision in discovering/defining/publishing new methods to support Bioinformatics data standards, tools, algorithms and/or data structures."
629,Enterprise West Solutions Architect,Databricks,N/A,N/A,Experience designing and architecting distributed data systems.
630,Sr. ETL Developer,"NuVasive, Inc.",3.4,N/A,Implement data virtualization / data integration approaches to help with data discovery/ data prep activities for data scientists and data stewards.
631,"Data, Analytics & Insights Internship",NP Digital,N/A,N/A,Detecting and debugging data issues to ensure data quality.
632,"Full Stack .NET Desktop Software Developer (C#, WPF, Azure)",Power Line Reporting,N/A,N/A,Most of our products are 'factory' type applications which convert and manipulate data from one format to another.
633,Senior Big Data Engineer,Lytx,3.7,N/A,"Mentor and coach junior engineers, software developers, and data analysts."
634,Machine Learning Developer,Realty Income Corporation,4.3,N/A,"Understanding of data structures, data modeling and software architecture."
635,Freelancer Publicist,TOP Agency,N/A,N/A,Target hours to start are 5 to 15 hours per week.
636,Support Assistant Genius,Comentum Corp,N/A,N/A,Must be excited to speak with customers - to understand their needs and accurately describe those needs to our developers (extreme accuracy is a must).
637,Sr. Data Analyst/Developer,"Tandem Diabetes Care, Inc.",3.6,N/A,Assists with data modeling and data quality assurance.
638,Senior Business Data Analyst,ResMed,3.8,N/A,"Experience with modern cloud data lakes, data platforms and data warehouse systems."
639,Data Visualization & Research Analyst,Northcentral University,3.2,N/A,"Works closely with researchers and other developers respond to and evaluate ad hoc requests for data, research projects and studies."
640,"Hadoop Database Administrator (Big Data, Analytics)",Hewlett-Packard Inc.,4.3,N/A,Ensuring the security of HP data.
641,Full Stack Software Developer,Chatmeter,3.4,N/A,"Established in 2009, Chatmeter now analyzes billions of customer reviews, social media mentions, and sentiments from hundreds of sources to help businesses keep…"
642,Big Data Software Engineer,HP,4.0,N/A,"Understanding of big data systems along with complex, distributed and massively parallel systems."
643,Cyber Fusion Research Support Developer,Deloitte,4.0,N/A,The developer will closely work with the threat intelligence team to assess the needs and any new development projects needed to drive more automation from a…
644,Web Developer,1POINT21 Interactive,N/A,N/A,"Creating interactive websites, animations and data visualizations."
645,Data Operations Associate,Everlaw,N/A,N/A,Own the process of uploading client data into our platform and being responsible for data quality and timeliness.
646,Software/Data Engineer (W2),TargetCW,3.7,"San Francisco, CA (Financial District area)","Experience building aggregates, optimizing data workstreams and maintaining data pipelines."
647,"Senior Data Analyst, Sales Operations",Github,4.3,N/A,Extensive experience in building high-quality data models and C-level presentations.
648,Data Scientist - Machine Learning,Plaid,3.8,N/A,Making long-term data science roadmap decisions like how machine learning and data science iteration should be done at Plaid.
649,"Big Data GTM Specialist, EMR","Amazon Web Services, Inc.",3.5,N/A,Good technical acumen with a foundational understanding of the big data landscape.
650,Data Engineer,Beshton Software,N/A,N/A,Apply knowledge of statistics and mathematics to software data analysis and provide analytical support on big data projects;
651,Data Engineer,SoFi,3.2,N/A,In this role you will be contributing to the long-term success of SoFi’s big data vision of establishing a democratized data platform that enables teams to…
